run_file,model,dataset,sae_id,mode,seed,compute_max_per_turn,steering_used,n_examples,threshold,feature,strength,max_act,resolved_proxy_rate,avg_num_questions,necessity_precision,necessity_recall,resolved_dialog_rate,overall_weighted_score
ambik_9b_steered_eval_feat383_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,383,15.0,,0.29,1.33,0.4923,0.6809,,0.6113
ambik_9b_steered_eval_feat771_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,771,15.0,,0.0,0.0,,0.0,,0.1
ambik_9b_steered_eval_feat591_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,591,15.0,,0.01,0.02,0.5,0.0213,,0.2754
ambik_9b_steered2_feat771_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,771,3.0,,0.12,0.5,0.4419,0.4043,,0.4899
ambik_9b_steered_rand_feat12423_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,12423,15.0,,0.45,1.71,0.4719,0.8936,,0.7186
ambik_eval_baseline_featNone.json,gemma-2-9b-it,ambik_calib_100.csv,,proxy,50,,False,100,0.65,,,,0.22,1.06,0.459,0.5957,,0.5786
ambik_9b_steered_rand_feat10885_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,10885,3.0,,0.28,1.35,0.5,0.6809,,0.6071
ambik_9b_steered_rand_feat8771_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,8771,3.0,,0.23,0.93,0.451,0.4894,,0.5406
ambik_9b_steered_rand_feat11167_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,11167,3.0,,0.24,1.13,0.5,0.5957,,0.5748
ambik_9b_steered_rand_feat1715_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,1715,3.0,,0.22,1.07,0.431,0.5319,,0.5537
ambik_9b_steered2_feat591_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,591,3.0,,0.24,0.96,0.4717,0.5319,,0.5652
ambik_9b_steered_rand_feat8734_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,8734,15.0,,0.13,0.43,0.44,0.234,,0.4249
ambik_9b_steered_rand_feat1715_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,1715,15.0,,0.1,0.54,0.4615,0.383,,0.4863
ambik_9b_steered_rand_feat3529_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,3529,15.0,,0.0,0.05,0.4,0.0426,,0.1352
ambik_9b_steered_eval_feat688_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,688,15.0,,0.29,1.26,0.5312,0.7234,,0.6396
ambik_9b_steered_eval_feat344_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,344,15.0,,0.01,0.06,0.0,0.0,,0.3272
ambik_9b_steered_rand_feat3529_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,3529,3.0,,0.2,1.02,0.4902,0.5319,,0.5469
ambik_9b_steered_rand_feat13344_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,13344,3.0,,0.22,1.31,0.4918,0.6383,,0.5871
ambik_9b_steered2_feat383_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,383,3.0,,0.26,1.22,0.4839,0.6383,,0.5929
ambik_9b_steered_rand_feat2856_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,2856,3.0,,0.26,1.45,0.4576,0.5745,,0.5681
ambik_9b_steered_rand_feat11167_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,11167,15.0,,0.25,1.22,0.4677,0.617,,0.5823
ambik_9b_steered_eval_feat565_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,565,15.0,,0.0,0.0,,0.0,,0.1
ambik_9b_steered_rand_feat1250_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,1250,3.0,,0.29,1.48,0.5143,0.766,,0.6499
ambik_9b_steered_rand_feat10885_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,10885,15.0,,0.28,1.35,0.4706,0.6809,,0.6107
ambik_9b_steered_rand_feat13344_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,13344,15.0,,0.31,1.73,0.4688,0.9574,,0.7373
ambik_9b_steered2_feat344_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,344,3.0,,0.18,0.71,0.48,0.5106,,0.5493
ambik_9b_steered_rand_feat12423_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,12423,3.0,,0.32,1.36,0.5072,0.7447,,0.6509
ambik_9b_steered2_feat688_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,688,3.0,,0.24,1.23,0.5,0.6596,,0.6007
ambik_9b_steered_rand_feat8734_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,8734,3.0,,0.25,1.05,0.4906,0.5532,,0.5801
ambik_9b_steered_rand_feat1250_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,1250,15.0,,0.42,1.93,0.47,1.0,,0.748
ambik_9b_steered_rand_feat2856_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,2856,15.0,,0.0,0.0,,0.0,,0.1
ambik_9b_steered2_feat565_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,565,3.0,,0.29,1.28,0.5429,0.8085,,0.6744
ambik_9b_steered_rand_feat8771_str15.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.20.hook_resid_post,proxy,50,False,True,100,0.65,8771,15.0,,0.04,0.38,0.3824,0.2766,,0.3824
